date,close
02-01-2022,170.600006
04-01-2022,167.850006
06-01-2022,149.699997
07-01-2022,131.149994
08-01-2022,138.399994
09-01-2022,134.75
11-01-2022,135.149994
12-01-2022,140
13-01-2022,163.899994
14-01-2022,161
17-01-2022,165.850006
18-01-2022,163.800003
19-01-2022,170.149994
20-01-2022,166.850006
21-01-2022,163.600006
24-01-2022,165.5
25-01-2022,165.100006
27-01-2022,165.600006
28-01-2022,168.949997
31-01-2022,172.550003
02-02-2022,171.350006
03-02-2022,163.050003
05-02-2022,160.5
06-02-2022,152.5
08-02-2022,136.600006
09-02-2022,132.649994
11-02-2022,136.5
12-02-2022,140.850006
14-02-2022,168.25
15-02-2022,164.050003
16-02-2022,168.5
17-02-2022,171.699997
18-02-2022,167.850006
21-02-2022,163.399994
22-02-2022,164.949997
23-02-2022,160.699997
24-02-2022,156.649994
25-02-2022,159.399994
28-02-2022,160.600006
01-03-2022,143.050003
02-03-2022,167.399994
03-03-2022,170.100006
06-03-2022,151.550003
08-03-2022,135.649994
10-03-2022,132.350006
11-03-2022,136.350006
14-03-2022,171.800003
15-03-2022,163.649994
16-03-2022,167.25
17-03-2022,170.100006
21-03-2022,172.600006
22-03-2022,175.5
23-03-2022,175.550003
24-03-2022,177.5
25-03-2022,175.800003
28-03-2022,176.399994
29-03-2022,171.050003
30-03-2022,162.25
31-03-2022,163.899994
01-04-2022,147.699997
02-04-2022,169.600006
03-04-2022,165.149994
04-04-2022,167.949997
05-04-2022,162.25
07-04-2022,126
08-04-2022,136.199997
10-04-2022,133.899994
11-04-2022,137.850006
13-04-2022,174.199997
18-04-2022,175.800003
19-04-2022,177.25
20-04-2022,175.5
21-04-2022,174.149994
22-04-2022,174
25-04-2022,169.600006
26-04-2022,167.100006
27-04-2022,165
28-04-2022,164.75
29-04-2022,160.5
01-05-2022,150.25
04-05-2022,171.75
05-05-2022,164.949997
07-05-2022,127.349998
08-05-2022,136.25
09-05-2022,133.399994
12-05-2022,143.75
13-05-2022,153.5
16-05-2022,153.699997
17-05-2022,163.050003
18-05-2022,163.149994
19-05-2022,159.949997
20-05-2022,161.800003
23-05-2022,155.050003
24-05-2022,150.550003
25-05-2022,152.75
26-05-2022,151.850006
27-05-2022,143.75
30-05-2022,143.899994
31-05-2022,151.399994
01-06-2022,150.699997
04-06-2022,172.75
05-06-2022,166.949997
06-06-2022,154
07-06-2022,120.949997
09-06-2022,132.100006
10-06-2022,132.699997
12-06-2022,142.399994
13-06-2022,159.5
14-06-2022,155.949997
15-06-2022,151.399994
16-06-2022,143.449997
17-06-2022,141.5
20-06-2022,134.25
21-06-2022,139.199997
22-06-2022,134.899994
23-06-2022,134.850006
24-06-2022,137.25
27-06-2022,141.399994
28-06-2022,149.350006
29-06-2022,153.949997
30-06-2022,151.449997
01-07-2022,157
02-07-2022,172.100006
03-07-2022,187.050003
04-07-2022,168.800003
06-07-2022,161.850006
07-07-2022,123.599998
09-07-2022,132.550003
10-07-2022,134.050003
11-07-2022,138.5
12-07-2022,140.800003
13-07-2022,124.449997
14-07-2022,127.150002
15-07-2022,126.449997
18-07-2022,129.899994
19-07-2022,127.449997
20-07-2022,132.550003
21-07-2022,133
22-07-2022,132.399994
25-07-2022,129.699997
26-07-2022,128.550003
27-07-2022,128.600006
28-07-2022,130.25
29-07-2022,134.149994
02-08-2022,166.899994
03-08-2022,179.100006
04-08-2022,170.850006
06-08-2022,163.350006
07-08-2022,121.5
08-08-2022,136.449997
09-08-2022,131.850006
12-08-2022,142.649994
16-08-2022,139.899994
17-08-2022,139.649994
18-08-2022,135.5
19-08-2022,134.550003
22-08-2022,131.899994
23-08-2022,133.75
24-08-2022,136
25-08-2022,136.550003
26-08-2022,136.649994
29-08-2022,135.800003
30-08-2022,138.550003
02-09-2022,164.100006
03-09-2022,175.25
05-09-2022,164.600006
06-09-2022,165.600006
09-09-2022,133.949997
11-09-2022,138.649994
12-09-2022,140.75
13-09-2022,133.850006
14-09-2022,133.199997
15-09-2022,132.600006
16-09-2022,131.199997
19-09-2022,130.449997
20-09-2022,133.199997
21-09-2022,130.850006
22-09-2022,128.699997
23-09-2022,128.649994
26-09-2022,123.449997
27-09-2022,124.5
28-09-2022,122.599998
29-09-2022,126.599998
30-09-2022,126.849998
01-10-2022,158.399994
02-10-2022,169.199997
03-10-2022,174.399994
05-10-2022,154.399994
06-10-2022,164.600006
08-10-2022,133.850006
10-10-2022,133.25
11-10-2022,139.850006
13-10-2022,129.800003
14-10-2022,127.599998
17-10-2022,127.800003
18-10-2022,128.699997
19-10-2022,127.699997
20-10-2022,129.699997
21-10-2022,131.5
24-10-2022,132.850006
25-10-2022,130.649994
27-10-2022,131.699997
28-10-2022,133.699997
31-10-2022,134
01-11-2022,160.949997
02-11-2022,168.25
03-11-2022,175.699997
04-11-2022,171.149994
05-11-2022,158.649994
07-11-2022,125.5
08-11-2022,132.699997
10-11-2022,131.100006
11-11-2022,140.449997
14-11-2022,139.199997
15-11-2022,142.350006
16-11-2022,142.899994
17-11-2022,143.25
18-11-2022,141.699997
21-11-2022,135.449997
22-11-2022,135.149994
23-11-2022,136.5
24-11-2022,139.350006
25-11-2022,140.550003
28-11-2022,139.550003
29-11-2022,140.25
30-11-2022,141.149994
01-12-2022,164.899994
04-12-2022,168.949997
05-12-2022,155.899994
07-12-2022,124.050003
08-12-2022,139.25
09-12-2022,134
10-12-2022,131.399994
12-12-2022,142.300003
13-12-2022,144.350006
14-12-2022,147.600006
15-12-2022,147.399994
16-12-2022,147.199997
19-12-2022,145.850006
20-12-2022,145.899994
21-12-2022,143.449997
22-12-2022,142.25
23-12-2022,139.800003
26-12-2022,141.300003
27-12-2022,144.899994
28-12-2022,143.899994
29-12-2022,144.899994
30-12-2022,146.800003
02-01-2023,144.25
03-01-2023,154.699997
06-01-2023,153.600006
08-01-2023,171.75
09-01-2023,181.649994
11-01-2023,186.600006
12-01-2023,194.600006
13-01-2023,146.949997
16-01-2023,147.600006
17-01-2023,147.850006
18-01-2023,149.25
19-01-2023,151.649994
20-01-2023,151.649994
23-01-2023,152.399994
24-01-2023,152.050003
25-01-2023,152.699997
27-01-2023,147.600006
30-01-2023,144.899994
31-01-2023,144.75
01-02-2023,150.399994
02-02-2023,143.449997
03-02-2023,154.050003
05-02-2023,164.300003
06-02-2023,154.649994
08-02-2023,171.75
11-02-2023,186.300003
13-02-2023,148.149994
14-02-2023,148.449997
15-02-2023,147.5
16-02-2023,155.850006
17-02-2023,156.550003
20-02-2023,154.800003
21-02-2023,154.100006
22-02-2023,153.449997
23-02-2023,154.75
24-02-2023,155
27-02-2023,155.199997
28-02-2023,152
01-03-2023,149.5
02-03-2023,144.300003
03-03-2023,154.350006
04-03-2023,153.649994
05-03-2023,161.199997
07-03-2023,160.199997
08-03-2023,172.050003
10-03-2023,184.600006
11-03-2023,189.949997
13-03-2023,155.800003
14-03-2023,153.350006
15-03-2023,152.5
16-03-2023,152.300003
17-03-2023,153.100006
20-03-2023,152.149994
21-03-2023,151.449997
22-03-2023,151.600006
23-03-2023,152.75
24-03-2023,149.5
27-03-2023,150.199997
28-03-2023,147.100006
29-03-2023,149.399994
31-03-2023,151
01-04-2023,146.25
05-04-2023,161
07-04-2023,160.199997
08-04-2023,173.350006
09-04-2023,182.800003
10-04-2023,182.75
12-04-2023,202.050003
13-04-2023,158.75
17-04-2023,160.050003
18-04-2023,160.100006
19-04-2023,160.050003
20-04-2023,159.149994
21-04-2023,159.550003
24-04-2023,160.100006
25-04-2023,160.600006
26-04-2023,161.050003
27-04-2023,160.149994
28-04-2023,158.949997
01-05-2023,146.5
04-05-2023,152.899994
05-05-2023,160.300003
06-05-2023,155.399994
07-05-2023,160.199997
09-05-2023,183.050003
10-05-2023,182.149994
12-05-2023,201.949997
15-05-2023,165.600006
16-05-2023,167.949997
17-05-2023,167.300003
18-05-2023,167.300003
19-05-2023,164.800003
22-05-2023,165.550003
23-05-2023,164.949997
24-05-2023,166.300003
25-05-2023,166.300003
26-05-2023,163.600006
29-05-2023,163.600006
30-05-2023,158.800003
31-05-2023,154.300003
01-06-2023,147.399994
02-06-2023,143.699997
03-06-2023,158.149994
04-06-2023,150.649994
06-06-2023,153.600006
07-06-2023,160.199997
09-06-2023,182.899994
10-06-2023,181.350006
11-06-2023,193.300003
12-06-2023,202.050003
13-06-2023,155.649994
14-06-2023,157.75
15-06-2023,157.600006
16-06-2023,156.899994
19-06-2023,157.699997
20-06-2023,157.25
21-06-2023,160.149994
22-06-2023,158.949997
23-06-2023,156.850006
26-06-2023,156.949997
27-06-2023,157.75
28-06-2023,158.300003
30-06-2023,160.199997
02-07-2023,144.649994
06-07-2023,154.050003
07-07-2023,163.5
08-07-2023,172.949997
09-07-2023,181.550003
11-07-2023,193.199997
12-07-2023,199.050003
13-07-2023,162.75
14-07-2023,169.25
17-07-2023,166.300003
18-07-2023,166.300003
19-07-2023,166.649994
20-07-2023,167.199997
21-07-2023,170.399994
24-07-2023,170.949997
25-07-2023,170.949997
26-07-2023,172.899994
27-07-2023,172.899994
28-07-2023,171.75
31-07-2023,171.75
02-08-2023,143.899994
03-08-2023,158.149994
05-08-2023,164.850006
06-08-2023,156.300003
08-08-2023,173.199997
09-08-2023,184.399994
11-08-2023,195.449997
12-08-2023,195.899994
14-08-2023,178
16-08-2023,179.050003
17-08-2023,177.649994
18-08-2023,175.199997
21-08-2023,175.949997
22-08-2023,176.050003
23-08-2023,175.5
24-08-2023,173
25-08-2023,174.75
28-08-2023,175.149994
29-08-2023,175.699997
30-08-2023,175.800003
31-08-2023,174.25
01-09-2023,148.199997
02-09-2023,146.199997
03-09-2023,156.25
05-09-2023,165.100006
06-09-2023,154.25
08-09-2023,176.850006
10-09-2023,181.800003
11-09-2023,192.649994
13-09-2023,183.899994
14-09-2023,187.850006
15-09-2023,186.649994
18-09-2023,186.699997
20-09-2023,188.149994
21-09-2023,186.699997
22-09-2023,185.149994
25-09-2023,185.449997
26-09-2023,187.75
27-09-2023,187.25
28-09-2023,187.850006
29-09-2023,191.800003
01-10-2023,149.300003
02-10-2023,146.649994
03-10-2023,155.800003
04-10-2023,157.149994
05-10-2023,166.949997
07-10-2023,162.75
08-10-2023,178.600006
10-10-2023,183.449997
11-10-2023,195.75
13-10-2023,184.899994
16-10-2023,186.5
17-10-2023,186.149994
18-10-2023,186.800003
19-10-2023,186.25
20-10-2023,186.149994
23-10-2023,184.800003
25-10-2023,183.899994
26-10-2023,181
27-10-2023,184.75
30-10-2023,188.800003
31-10-2023,186.100006
01-11-2023,146.75
04-11-2023,159.050003
05-11-2023,167.100006
07-11-2023,162.75
08-11-2023,177.149994
09-11-2023,183.5
10-11-2023,183.149994
12-11-2023,198.050003
13-11-2023,195.449997
15-11-2023,199.449997
16-11-2023,201.850006
17-11-2023,196.25
20-11-2023,197.850006
21-11-2023,191.25
22-11-2023,190.899994
23-11-2023,190.600006
24-11-2023,188.75
28-11-2023,193.850006
29-11-2023,192.050003
30-11-2023,194.800003
01-12-2023,146.050003
04-12-2023,157.699997
05-12-2023,165.5
06-12-2023,155
07-12-2023,162.75
09-12-2023,180.899994
10-12-2023,184.399994
12-12-2023,195.5
13-12-2023,193.149994
14-12-2023,195.949997
15-12-2023,201.050003
18-12-2023,198.899994
19-12-2023,200.399994
20-12-2023,203.149994
21-12-2023,202.649994
22-12-2023,203.899994
26-12-2023,207.25
27-12-2023,205.350006
28-12-2023,208.300003
29-12-2023,205.050003
01-01-2024,205.25
02-01-2024,247.649994
03-01-2024,270.649994
15-01-2024,233.550003
16-01-2024,235.100006
17-01-2024,232.300003
18-01-2024,232.300003
19-01-2024,242
23-01-2024,229.899994
24-01-2024,234.350006
25-01-2024,234
29-01-2024,252.850006
30-01-2024,249.199997
31-01-2024,252.449997
01-02-2024,207
02-02-2024,257.25
13-02-2024,259.75
14-02-2024,268.899994
15-02-2024,277.100006
16-02-2024,274.5
19-02-2024,274.700012
20-02-2024,276.649994
21-02-2024,272.899994
22-02-2024,274.850006
23-02-2024,272
26-02-2024,269.700012
27-02-2024,269.350006
28-02-2024,265.350006
29-02-2024,264.899994
01-03-2024,208.199997
13-03-2024,254.899994
14-03-2024,263.25
15-03-2024,259
18-03-2024,261.350006
19-03-2024,259.25
20-03-2024,263.850006
21-03-2024,263
22-03-2024,263.200012
26-03-2024,265.399994
01-04-2024,214.600006
03-04-2024,279.200012
01-05-2024,216.399994
02-05-2024,263.100006
03-05-2024,283.649994
02-06-2024,272.25
03-06-2024,280.25
02-07-2024,271.950012
03-07-2024,278.049988
01-08-2024,217.800003
02-08-2024,273.299988
01-09-2024,216.649994
02-09-2024,266.950012
01-10-2024,212.100006
01-11-2024,211.75
03-11-2024,273.700012
01-12-2024,223.350006
02-12-2024,257.799988
03-12-2024,270.350006
